NO.,NAMA VIHARA,MANDARIN,GPS,,,ALAMAT,ref_code
,TANJUNG BATU (SAKKOK),Tai Yin Tai Yang Xing Jun / Ri Yue Gong (Shi Jiao),E 108º,57' 42,"43""",RT 07/02 Kelurahan Sedau,
64,VIHARA SUI KHEU PAK KUNG,水口伯公廟(石角),N 00º,53' 28,"33""",Jl. Raya Tanjung Batu Gg. Sejati,
,TANJUNG BATU (SAKKOK),Shui Kou Bo Gong Miao (Shi Jiao),E 108º,57' 40,"82""",RT 07/02 Kelurahan Sedau,
65,VIHARA THAI CU SHIN TI,太祖聖帝宮(石角),N 00º,53' 27,"10""",Jl. Raya Tanjung Batu Gg. Daya,23
,TANJUNG BATU (SAKKOK),Tai Zu Sheng Di Gong (Shi Jiao),E 108º,57' 48,"37""",RT 01/01 Kelurahan Sedau,
66,VIHARA SAM THIAN THAI CI,三天太子廟(石角),N 00º,53' 27,"02""",Jl. Raya Tanjung Batu Gg. Daya,24
,TANJUNG BATU (SAKKOK),San Tian Tai Zi Miao (Shi Jiao),E 108º,57' 47,"77""",RT 01/01 Kelurahan Sedau,
67,VIHARA TRIDHARMA BUMI RAYA,大伯公廟(石角),N 00º,53' 30,"69""",Jl. Tanjung Batu Harapan,
,TANJUNG BATU (SAKKOK),Da Bo Gong Miao (Shi Jiao),E 108º,57' 47,"18""",RT 04/01 Kelurahan Sedau,
68,VIHARA SURGA NERAKA / SAN THONG,恕德堂(三吧叻-霸狮山),N 00º,50' 23,"72""",Jl. Sagatani Simajat Gg. Pasqua,7
,SEMPALIT-GUNUNG PASI,Shu De Tang (San Ba Le-Ba Shi Shan),E 108º,59' 17,"99""",RT 23/05 Kelurahan Sijangkung,
69,CETIYA FA SAN KIUNG,華山宮(三吧叻-霸狮山),N 00º,50' 00,"60""",Jl. Sagatani Simajat Gg. Pasqua,
,SEMPALIT-GUNUNG PASI,Hua Shan Gong (San Ba Le-Ba Shi Shan),E 108º,59' 18,"86""",RT 23/05 Kelurahan Sijangkung,
70,VIHARA CAU TET FUT THONG,昭德佛堂(三吧叻),N 00º,50' 00,"21""",Jl. Sagatani Simajat Gg. Pasqua,
,SEMPALIT,Zhao De Fo Tang (San Ba Le),E 108º,58' 53,"64""",RT 23/05 Kelurahan Sijangkung,
71,VIHARA FUK TET FA NGOK KIUNG,福德华岳宮(三吧叻),N 00º,50' 00,"21""",Jl. Sagatani Simajat,
,SEMPALIT,Fu De Hua Yue Gong (San Ba Le),E 108º,58' 53,"64""",RT 23/05 Kelurahan Sijangkung,
72,VIHARA SHUI KHEU PAK KUNG,水口伯公廟(三吧叻),N 00º,50' 07,"54""",Jl. Sagatani Simajat,
,SEMPALIT,Shui Kou Bo Gong Miao (San Ba Le),E 108º,58' 44,"52""",RT 22/05 Kelurahan Sijangkung,
73,CETIYA LIN SAN NG FUK THAN,靈山五福壇(巴古喃),N 00º,50' 51,"79""",Jl. Bougenville,
,PAKUNAM,Ling Shan Wu Fu Tan (Ba Gu Nan),E 108º,58' 28,"75""",RT 21/04 Kelurahan Sijangkung,
74,VIHARA HIAN THIAN KIUNG,玄天宮(巴古喃),N 00º,51' 05,"97""",Jl. Sagatani Pakunam Gg. Pepaya,
,PAKUNAM,Xian Tian Gong (Ba Gu Nan),E 108º,58' 24,"12""",RT 19/04 Kelurahan Sijangkung,
75,VIHARA SAK BONG MIAU / SAK KU THAI BONG,石王廟/石古大王(巴古喃),N 00º,51' 30,"58""","Jl. Raya Sagatani, Pakunam",9
,PAKUNAM,Shi Wang Miao / Shi Gu Da Wang (Ba Gu Nan),E 108º,59' 05,"83""",RT 10/02 Kelurahan Sijangkung,
76,CETIYA NYI BU SIAN SHI,二武仙師壇(新喃),N 00º,51' 46,"14""","Jl. Raya Sagatani Gg. Teratai Baru, Sinnam",
,SINNAM,Er Wu Xian Shi Tan (Xin Nan),E 108º,59' 17,"86""",RT 10/02 Kelurahan Sijangkung,
77,CETIYA SAK BONG CHIAN SOI,石王千歲壇(新喃),N 00º,51' 42,"84""","Jl. Raya Sagatani, Sinnam",
