name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no,region,id
VIHARA THIAN HEU KIUNG / CHIAP THIAN KIUNG,天后宮/協天宮(沙壟),Tian Hou Gong / Xie Tian Gong (Sha Long),PADANG PASIR (SALIUNG),0.8775000000000001,108.94972222222222,"Jl. Raya Padang Pasir (Saliung), RT 17/04 Kelurahan Sedau",,south,s39
VIHARA TRIDHARMA SETYA BUMI RAYA,大伯公公廟(沙壟),Da Bo Gong Gong Miao (Sha Long),PADANG PASIR (SALIUNG),0.8783333333333334,108.95083333333334,"Jl. Raya Padang Pasir (Saliung), RT 17/04 Kelurahan Sedau",,south,s40
VIHARA KHIAN TET KIUNG,乾德宮(沙壟),Qian De Gong (Sha Long),PADANG PASIR (SALIUNG),0.8883333333333333,108.95944444444444,"Jl. Raya Padang Pasir (Saliung), RT 08/02 Kelurahan Sedau",,south,s41
VIHARA THAI PAK KUNG,大伯公廟(沙壟),Da Bo Gong Miao (Sha Long_,PADANG PASIR (SALIUNG),0.8844444444444444,108.95583333333333,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau",,south,s42
CETIYA THI CU PAK KUNG,地主公壇(沙壟-監獄),Di Zhu Bo Gong Tan (Sha Long-Jian Yu),(LEMBAGA PEMASYARAKATAN),0.8833333333333333,108.95666666666666,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau",,south,s43
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道仁中佛堂(沙壟),Mi Le Da Dao Ren Zhong Fo Tang (Sha Long),PADANG PASIR (SALIUNG),0.8844444444444444,108.95444444444445,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau",,south,s44
VIHARA THI CU KUNG (KIM LIUNG PAK KUNG),地主公廟/金龍伯公(沙壟),Di Zhu Gong Miao / Jin Long Bo Bong (Sha Long),PADANG PASIR (SALIUNG),0.8805555555555555,108.95444444444445,"Jl. Laksitarda (Saliung), RT 16/04 Kelurahan Sedau",,south,s45
VIHARA FA NGOK KIUNG,華嶽宮(沙壟),Hue Yue Gong (Sha Long),PADANG PASIR (SALIUNG),0.8775000000000001,108.95611111111111,"Jl. Laksitarda (Saliung), RT 16/04 Kelurahan Sedau",,south,s46
VIHARA CAKRAWALA DHARMA SINGKAWANG,誠德佛堂(沙壟),Cheng De Fo Tang (Sha Long),PADANG PASIR (SALIUNG),0.8816666666666667,108.95416666666667,"Jl. Latsitarda (Saliung), RT 16/04 Kelurahan Sedau",,south,s47
VIHARA KHOI SAN THI CU PAK KUNG,開山地主大伯公廟(高杯山),Kai Shan Di Zhu Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.8672222222222222,108.96305555555556,"Jl. Tanjung Batu Dalam, RT 14/03 Kelurahan Sedau",,south,s48
CETIYA FAB THO CIN NYIN,法道真人壇(高杯山),Fa Dao Zhen Ren Tan (Gao Bei Shan),KOPISAN,0.8669444444444445,108.9625,"Jl. Tanjung Batu Dalam, RT 14/03 Kelurahan Sedau",,south,s49
CETIYA KIU THIAN HIAN NG CUN SHIN,九天玄女尊神壇(高杯山),Jiu Tian Xian Nu Zun Shen Tan (Gao Bei Shan),KOPISAN,0.8627777777777778,108.96833333333333,"Jl. Tanjung Batu Dalam (Kopisan), RT 15/03 Kelurahan Sedau",,south,s50
CETIYA JIN FUK KUI THONG,引福歸堂(高杯山),Yin Fu Gui Tang (Gao Bei Shan),KOPISAN,0.8627777777777778,108.97,"Jl. Tanjung Batu Dalam (Kopisan) Gg. Bugis, RT 15/03 Kelurahan Sedau",,south,s51
VIHARA BUMI RAYA THAI PAK KUNG,大伯公廟(高杯山),Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.8730555555555556,108.96611111111112,"Jl. Tanjung Batu Dalam, RT 11/03 Kelurahan Sedau",,south,s52
VIHARA CUNG NGO THONG,忠峩堂(高杯山),Zhong E Tang (Gao Bei Shan),KOPISAN,0.8738888888888889,108.96583333333334,"Jl. Tanjung Batu Dalam (Kopisan), RT 11/03 Kelurahan Sedau",,south,s53
CETIYA THAI PAK KUNG KUNG,大伯公公壇(高杯山),Da Bo Gong Gong Tan (Gao Bei Shan),KOPISAN,0.8766666666666667,108.97444444444444,"Jl. Suka Ramai (Kopisan), RT 12/03 Kelurahan Sedau",,south,s54
CETIYA KHOI SAN THI CU PAK KUNG,開山地主大伯公壇(高杯山),Kai Shan Di Zhu Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.8727777777777778,108.96916666666667,"Jl. Suka Maju (Kopisan), RT 12/03 Kelurahan Sedau",,south,s55
VIHARA FAB LIN KIUNG,法靈宮(高杯山),Fa Ling Gong (Gao Bei Shan),KOPISAN,0.8830555555555556,108.96472222222222,"Jl. Tanjung Batu Dalam (Kopisan), RT 04/01 Kelurahan Sedau",,south,s56
CETIYA LU SAN PAK KUNG,廬山廟(高杯山),Lu Shan Miao (Gao Bei Shan),KOPISAN,0.885,108.9588888888889,"Jl. Sosial Gg. Sosial 4, RT 03/01 Kelurahan Sedau",,south,s57
