name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address
VIHARA AMBAWANA ARAMA,芒林寺(新喃),Mang Lin Si (Xin Nan),SINNAM,0.8608555555555555,108.99579166666666,"Jl. Raya Sagatani Gg. Tower, Sinnam, RT 13/03 Kelurahan Sijangkung"
CETIYA LIUNG SAN THAN,龙山坛(新喃),Long Shan Tan (Xin Nan),SINNAM,0.8649527777777778,108.99501944444445,"Jl. Raya Sagatani Gg. Tower, Sinnam, RT 13/03 Kelurahan Sijangkung"
VIHARA MAITREYA KARUNA,光浩堂(新喃),Guang Hao Tang (Xin Nan),SINNAM,0.8732833333333334,108.9916,"Jl. Sagatani Gare, Sinnam, RT 12/03 Kelurahan Sijangkung"
VIHARA DHARMA BUDDHA CIKUNG,济公法佛堂(新喃),Ji Gong Fa Fo Tang (Xin Nan),SINNAM,0.8728444444444444,108.99062777777777,"Jl. Sagatani Gare, Sinnam, RT 08/02 Kelurahan Sijangkung"
VIHARA FA CHIN KIUNG,华清宮(新喃),Hua Qing Gong (Xin Nan),SINNAM,0.8687861111111111,108.99663611111112,"Jl. Raya Sagatani Gg. Padi, RT 14/03 Kelurahan Sijangkung"
VIHARA VIMALA CHANDA ARAMA,净愿寺(新喃),Jing Yuan Si (Xin Nan),SINNAM,0.8782472222222223,108.99094444444445,"Jl. Sagatani Gg. Anugerah No.1, Sinnam, RT 08/02 Kelurahan Sijangkung"
VIHARA TRIDHARMA BUMI RAYA,大伯公廟(新喃),Da Bo Gong Miao (Xin Nan),SINNAM,0.8764916666666667,108.99098611111111,"Jl. Sagatani Gare, Sinnam, RT 08/02 Kelurahan Sijangkung"
VIHARA SAM BONG MIAU / BONG JA,三王廟/王爷(新喃),San Wang Miao / Wang Ye (Xin Nan),SINNAM,0.8775861111111112,108.9922,"Jl. Sagatani Gare, Sinnam, RT 11/03 Kelurahan Sijangkung"
CETIYA KIM KONG MIAU / SI THAI KIM KONG,金剛廟/四大金剛(新喃),Jin Gang Miao / Si Da Jin Gang (Xin Nan),SINNAM,0.8784277777777778,108.99070555555555,"Jl. Sagatani Gare, Sinnam, RT 08/02 Kelurahan Sijangkung"
CETIYA FUT MU KIUNG,佛母宮(溫辉路),Fo Mu Gong (Wen Hui Lu),JALAN BUN FUI,0.882225,108.97902222222223,"Jl. Bunfui, RT 06/02 Kelurahan Sijangkung"
VIHARA SAM CHIN MIAU,三清廟(溫辉路),San Qing Miao (Wen Hui Lu),JALAN BUN FUI,0.8699333333333333,108.98121388888889,"Jl. Bunfui Gg. Sentosa, RT 06/02 Kelurahan Sijangkung"
CETIYA LAI KIM PAK KUNG,賴金伯公廟(溫辉路),Lai Jin Bo Gong Miao (Wen Hui Lu),JALAN BUN FUI,0.8823611111111112,108.98157777777779,"Jl. Bunfui, RT 04/02 Kelurahan Sijangkung"
VIHARA FUK TET KIUNG / KAI SI PAK KUNG,福德宮(学老喃),Fu De Gong (Xue Lao Nan),JALAN BARU (HOKLONAM),0.8872333333333333,108.98863055555556,"Jl. Baru, Hoklonam, RT 03/01 Kelurahan Sijangkung"
VIHARA NG FU CIONG KIUN,五虎將军坛(学老喃),Wu Hu Jiang Jun Tan (Xue Lao Nan),JALAN BARU (HOKLONAM),0.8880722222222222,108.99404722222222,"Jl. Baru Gg. Singkong, Hoklonam, RT 03/01 Kelurahan Sijangkung"
VIHARA CHIANG LIUNG CIN,青龙精庙(学老喃),Qing Long Jing Miao (Xue Lao Nan),JALAN BARU (HOKLONAM),0.8839888888888888,108.9968138888889,"Jl. Baru, Hoklonam, RT 02/01 Kelurahan Sijangkung"
