NO.,NAMA VIHARA,MANDARIN,GPS,,,ALAMAT,ref_code
, JL. BURHANI ,   Liu Liu Gang Xing (Zhi Shi Tan) , E 108°  , 59' 37 ," 11"" ", RT 24/10 Kelurahan Pasiran ,
55, CETIYA SAM CHIN FAB THAN , 三清法坛(志师坛) , N  00°  , 53' 28 ," 22"" ", Jl. Kridasana Gg. Tujuh Puluh ,
, JL. BURHANI ,   Shan Qing Fa Tan (Zhi Shi Tan) , E 108°  , 59' 36 ," 53"" ", RT 24/10 Kelurahan Pasiran ,
56, VIHARA SAK CHI KIUNG , 石慈官(运动场) , N  00°  , 53' 13 ," 50"" ", Jl. Kridasana Gg. Karya II No.79 ,
, JL. KRIDASANA ,   Shi Ci Gong (Yun Dong Chang) , E 108°  , 59' 00 ," 52"" ", RT 28/11 Kelurahan Pasiran ,
57, CETIYA FUNG MIAN CIONG KIUN , 紅面將军(运动场) , N  00°  , 53' 36 ," 73"" ", Jl. Kridasana Gg. Karya I ,
, JL. KRIDASANA ,   Hong Mian Jiang Jun (Yun Dong Chang) , E 108°  , 59' 10 ," 99"" ", RT 52/11 Kelurahan Pasiran ,
58, CETIYA FUT SHIN KIUNG , 佛神宮(运动场) , N  00°  , 53' 37 ," 22"" ", Jl. Kridasana Gg. Karya I ,
, JL. KRIDASANA ,   Fo Shen Gong (Yun Dong Chang) , E 108°  , 59' 12 ," 22"" ", RT 52/11 Kelurahan Pasiran ,
59, CETIYA FA SAN LI FAB THAN , 华山李法坛(运动场) , N  00°  , 53' 34  ," 88"" ", Jl. Kridasana Gg. Karya I ,
, JL. KRIDASANA ,   Hua Shan Li Fa Tan (Yun Dong Chang) , E 108°  , 59' 08 ," 72"" ", RT 52/11 Kelurahan Pasiran ,
60, VIHARA THAI PAK KUNG / BUN BU NYIAN SAI , 大伯公庙/文武元帅庙 , N  00°  , 53' 49 ," 37"" ", Jl. Kridasana Gg. Setuju ,
, JL. KRIDASANA ,   Da Bo Gong Miao / Wen Wu Yuan Shuai , E 108°  , 59' 16 ," 34"" ", RT 22/09 Kelurahan Pasiran ,
