name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region
CETIYA LIUK LIUK KONG SEN,六六罡星(志師壇),Liu Liu Gang Xing (Zhi Shi Tan),JL. BURHANI,0.8917361111111111,108.99364166666666,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,B54,,Barat (West)
CETIYA SAM CHIN FAB THAN,三清法壇(志師壇),Shan Qing Fa Tan (Zhi Shi Tan),JL. BURHANI,0.8911722222222221,108.99348055555555,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,B55,,Barat (West)
VIHARA SAK CHI KIUNG,石慈宮(運動場),Shi Ci Gong (Yun Dong Chang),JL. KRIDASANA,0.8870833333333333,108.98347777777778,"Jl. Kridasana Gg. Karya II No.79, RT 28/11 Kelurahan Pasiran",,B56,,Barat (West)
CETIYA FUNG MIAN CIONG KIUN,紅面將軍(運動場),Hong Mian Jiang Jun (Yun Dong Chang),JL. KRIDASANA,0.8935361111111111,108.98638611111112,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,B57,,Barat (West)
CETIYA FUT SHIN KIUNG,佛神宮(運動場),Fo Shen Gong (Yun Dong Chang),JL. KRIDASANA,0.8936722222222222,108.98672777777777,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,B58,,Barat (West)
CETIYA FA SAN LI FAB THAN,華山李法壇(運動場),Hua Shan Li Fa Tan (Yun Dong Chang),JL. KRIDASANA,0.8930222222222222,108.98575555555556,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,B59,,Barat (West)
VIHARA THAI PAK KUNG / BUN BU NYIAN SAI,大伯公廟/文武元帥廟,Da Bo Gong Miao / Wen Wu Yuan Shuai,JL. KRIDASANA,0.8970472222222222,108.98787222222222,"Jl. Kridasana Gg. Setuju, RT 22/09 Kelurahan Pasiran",42,B60,6,Barat (West)
CETIYA FAB SHI THAN,法師壇,Fa Shi Tan,JL. KRIDASANA,0.897025,108.98724722222222,"Jl. Kridasana Gg. Makasar, RT 20/09 Kelurahan Pasiran",,B61,,Barat (West)
VIHARA TRIDHARMA PAK KUNG PAK PHO,大伯公廟(三叉路),Da Bo Gong Miao (San Cha Lu),JL. KRIDASANA,0.8952305555555555,108.9833388888889,"Jl. Pelita Gg. Lembah I No.32, RT 27/11 Kelurahan Pasiran",39,B62,6,Barat (West)
VIHARA DHARMA BUDDHA DHAMMA SAVANA,晋恩佛堂(三叉路),Jin En Fo Tang (San Cha Lu),JL. YOHANA GODANG,0.8985305555555555,108.98449444444445,"Jl. Yohana Godang No.57, RT 48/17 Kelurahan Pasiran",,B63,,Barat (West)
CETIYA LUI THIAN CU SHI,老祖天師廟(三叉路),Lao Zu Tian Shi Miao (San Cha Lu),JL. STASIUN,0.9029583333333333,108.98818333333334,"Jl. Stasiun, RT 04/02 Kelurahan Pasiran",34,B64,5,Barat (West)
VIHARA TRIDHARMA BUMI RAYA,港尾大伯公廟(港尾),Gang Wei Da Bo Gong (Gang Wei),PASAR TURI,0.9052777777777778,108.99294722222223,"Jl. Pasar Turi No.21, RT 12/04 Kelurahan Pasiran",4,B65,5,Barat (West)
CETIYA THAI PAK KUNG KUNG,大伯公公廟(港尾肚),Da Bo Gong Gong Miao (Gang Wei Du),PASAR TURI DALAM,0.9016805555555556,108.996975,"Jl. Pasar Turi Dalam, RT 18/07 Kelurahan Pasiran",,B66,,Barat (West)
CETIYA THAI PAK KUNG / SE PAK KUNG,大伯公壇(小伯公),Da Bo Gong Tan,Jl. SAMA-SAMA,0.9055583333333334,108.99085833333334,"Jl. Sama-sama, RT 09/05 Kelurahan Pasiran",17,B67,6,Barat (West)
CETIYA NYIAN SAI THONG,元帥堂,Yuan Shuai Tang,Jl. SAMA-SAMA 2,0.905,108.99116944444445,"Jl. Sama-sama 2 No.76, RT 09/04 Kelurahan Pasiran",,B68,,Barat (West)
VIHARA TRIDHARMA BUMI RAYA DEWI SAMUDERA,天后宮/天后聖母,Tian Hou Gong / Tian Hou Sheng Mu,JL. SAMAN BUJANG,0.9068666666666667,108.9873638888889,"Jl. Saman Bujang No.29, RT 11/03 Kelurahan Pasiran",12,B69,9,Barat (West)
VIHARA TRIDHARMA BUDI DHARMA,觀音宮,Guan Yin Gong,JL. GM. SITUT,0.9050694444444445,108.98986388888889,"Jl. GM. Situt, RT 07/02 Kelurahan Pasiran",,B70,,Barat (West)
VIHARA HIAN THIAN SONG TI,玄天上帝廟,Xian Tian Shang Di Miao,JL. GM. SITUT,0.9031972222222222,108.98845555555556,"Jl. GM. Situt, RT 04/02 Kelurahan Pasiran",33,B71,6,Barat (West)
VIHARA SHI THIAN FUT CU,西天佛祖廟,Xi Tian Fo Zu Miao,GUNUNG SARI,0.8899138888888889,108.97717222222222,"Jl. Gunung Sari Gg. Puncak sari, RT 30/12 Kelurahan Pasiran",11,B72,9,Barat (West)
CETIYA SAK KU THAI BONG,石古大王壇,Shi Gu Da Wang Tan,GUNUNG SARI,0.8927611111111111,108.97968888888889,"Jl. Gunung Bawang, RT 30/12 Kelurahan Pasiran",,B73,,Barat (West)
CETIYA THAI PAK KUNG KUNG,大伯公壇,Da Bo Gong Tan,GUNUNG SARI,0.886925,108.98122222222223,"Jl. Taman Gunung Sari, RT 28/11 Kelurahan Pasiran",,B74,,Barat (West)
CETIYA KON JIM KIUNG,觀音官(石角),Guan Yin Gong (Shi Jiao),JL. A. YANI / SAKKOK,0.8919388888888888,108.96538333333334,"Jl. A. Yani No.24, RT 33/14 Kelurahan Pasiran",15,B75,7,Barat (West)
