name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region,,,,,,,,,,,
CETIYA KIM KONG MIAU / SI THAI KIM KONG,金剛廟/四大金剛(新喃),Jin Gang Miao / Si Da Jin Gang (Xin Nan),SINNAM,0.878333333,108.9905556,"Jl. Sagatani Gare, Sinnam, RT 08/02 Kelurahan Sijangkung",,s88,,Selatan (South),,,,,,,,,,,
CETIYA LAI KIM PAK KUNG,賴金伯公廟(文輝路),Lai Jin Bo Gong Miao (Wen Hui Lu),JALAN BUN FUI,0.882222222,108.9813889,"Jl. Bunfui, RT 04/02 Kelurahan Sijangkung",,s89,,Selatan (South),,,,,,,,,,,
VIHARA FUK TET KIUNG / KAI SI PAK KUNG,福德宮(學老喃),Fu De Gong (Xue Lao Nan),JALAN BARU (HOKLONAM),0.887222222,108.9886111,"Jl. Baru, Hoklonam, RT 03/01 Kelurahan Sijangkung",,s90,,Selatan (South),,,,,,,,,,,
VIHARA NG FU CIONG KIUN,五虎將軍壇(學老喃,Wu Hu Jiang Jun Tan (Xue Lao Nan),JALAN BARU (HOKLONAM),0.888055556,108.9938889,"Jl. Baru Gg. Singkong, Hoklonam, RT 03/01 Kelurahan Sijangkung",,s91,,Selatan (South),,,,,,,,,,,
CETIYA THI CU PAK KUNG,地主大伯壇/(上候福律),Di Zhu Da Bo Gong Tan (Shang Hou Fu Lu),SANGGAU KULOR,0.873333333,108.9944444,"Jl. Raya Sanggau Kulor Gg. Kuburan, RT 01/01 Kelurahan Sanggau Kulor",,s92,,Selatan (South),,,,,,,,,,,
CETIYA THAI PAK KUNG,大伯公壇(上候福律),Da Bo Gong Tan (Shang Hou Fu Lu),SANGGAU KULOR,0.871388889,108.9947222,"Jl. Raya Sanggau Kulor, RT 01/01 Kelurahan Sanggau Kulor",,s93,,Selatan (South),,,,,,,,,,,
CETIYA KON JIM KIUNG,觀音官(盧萬),Guan Yin Gong (Lu Wan),ROBAN,0.890277778,109.0158333,"Jl. Pahlawan, RT 44/09 Kelurahan Roban",16,c1,7,Tengah (Central),,,,,,,,,,,
CETIYA TRIDHARMA PANCA SADDHA,大伯公壇(头條港),Da Bo Gong Tan (San Tiao Gang),SEI. GARAM HILIR,0.931111111,108.9794444,"Jl. Terminal Induk Gg. Kesehatan, RT 09/04 Kelurahan Sei. Garam Hilir",21,c2,6,Tengah (Central),,,,,,,,,,,
KELENTENG THAI PAK KUNG KUNG,大伯公公廟(黄泥路),Da Bai Gong Gong Miao (Huang Ni Lu),JL. HULU / JL. KALIMANTAN,0.908333333,108.9930556,"Jl. Hulu, RT 33/07 Kelurahan Condong",49,c3,6,Tengah (Central),,,,,,,,,,,
VIHARA BUDDHAYANA MAHA KARUNA (ATAS),玉皇殿/觀音堂/北帝堂(盧萬),Yu Huang Dian / Guan Yin Tang / Bei Di Tang,ROBAN (上齋堂-Shang Zhai Tang),0.893888889,109.0033333,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",50,c4,14,Tengah (Central),,,,,,,,,,,
VIHARA BUDDHAYANA MAHA KARUNA (BAWAH),觀音堂(盧萬),Guan Yin Tang (Lu Wan),ROBAN (下齋堂-Xia Zhai Tang),0.893055556,109.0041667,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",51,c5,7,Tengah (Central),,,,,,,,,,,
CETIYA THAI PAK KUNG,大伯公壇(盧萬新路),Da Bo Gong Tan (Lu Wan Xin Lu),JALAN BARU-ROBAN,0.892222222,109.0125,"Jl. Baru, RT 44/09 Kelurahan Roban",,c6,,Tengah (Central),,,,,,,,,,,
VIHARA TRIDHARMA TERATAI,三教堂(盧萬新路),San Jiao Tang (Lu Wan Xin Lu),JALAN BARU-ROBAN,0.888611111,109.0058333,"Jl. Gunung Roban / Jl. Baru, RT 57/12 Kelurahan Roban",,c7,,Tengah (Central),,,,,,,,,,,
VIHARA PET TI KIUNG / THAI PAK KUNG,北帝宮-大伯公(盧萬新路),Bei Di Gong / Da Bo Gong (Lu Wan Xin Lu),JALAN BARU-ROBAN,0.890277778,109.0025,"Jl. Gunung Roban / Jl. Baru, RT 57/12 Kelurahan Roban",,c8,,Tengah (Central),,,,,,,,,,,
VIHARA TRIDHARMA UTAMA / THAI PAK KUNG,大伯公廟(盧萬打麻房),Da Bo Gong Miao (Lu Wan Da Ma Fang),GUDANG TAMA-ROBAN,0.900277778,109.0119444,"Jl. Gudang Tama No.20, RT 29/08 Kelurahan Roban",,c9,,Tengah (Central),,,,,,,,,,,
CETIYA LO CU THIAN SHI,老祖天師壇(盧萬打麻房),Lao Zu Tian Shi Tan (Lu Wan Da Ma Fang),GUDANG TAMA-ROBAN,0.900555556,109.0144444,"Jl. Gudang Tama Gg. Bufa, RT 18/03 Kelurahan Roban",,c10,,Tengah (Central),,,,,,,,,,,
CETIYA THAI PAK KUNG,大伯公廟(盧萬),Da Bo Gong Miao (Lu Wan),ROBAN,0.894444444,109.0172222,"Jl. Pahlawan Gg. Bukit Burung, RT 44/09 Kelurahan Roban",,c11,,Tengah (Central),,,,,,,,,,,
CETIYA SI THAI KIM KONG,四大金剛(盧萬),Si Da Jin Gang (Lu Wan),ROBAN,0.895,109.0125,"Jl. Pahlawan, RT 26/09 Kelurahan Roban",,c12,,Tengah (Central),,,,,,,,,,,
VIHARA SAM CHIN FAB JAN,三清法院(盧萬),San Qing Fa Yuan (Lu Wan),ROBAN,0.895277778,109.01,"Jl. Pahlawan Gg. Sinar Karya, RT 26/09 Kelurahan Roban",,c13,,Tengah (Central),,,,,,,,,,,
CETIYA SHI THIAN FUT CU,西天佛祖壇(盧萬),Xi Tian Fo Zu Tan (Lu Wan),ROBAN,0.895277778,109.0116667,"Jl. Pahlawan Gg. Sinar Karya, RT 26/09 Kelurahan Roban",,c14,,Tengah (Central),,,,,,,,,,,
VIHARA PANNA / THIAN THAI FO THANG,天泰佛堂(盧萬),Tian Tai Fo Tang (Lu Wan),ROBAN,0.904444444,109.0025,"Jl. KS. Tubun No.28, RT 20/09 Kelurahan Roban",,c15,,Tengah (Central),,,,,,,,,,,
CETIYA LIE KHUI KIUNG,李逵宮(盧萬),Li Kui Gong (Lu Wan),ROBAN,0.899444444,109.0022222,"Jl. KS. Tubun Gg.AA, RT 53/11 Kelurahan Roban",,c16,,Tengah (Central),,,,,,,,,,,
CETIYA KIM SAN PAK KUNG,僅山伯公(盧萬),Jin Shan Bo Gong (Lu Wan),ROBAN,0.899444444,109.0008333,"Jl. KS. Tubun Gg. Pekong, RT 54/12 Kelurahan Roban",,c17,,Tengah (Central),,,,,,,,,,,
CETIYA NYIUK TI / KON JIN MIAU,玉帝/觀音廟(盧萬),Yu Di / Guan Yin Miao (Lu Wan),ROBAN,0.899722222,109.0025,"Jl. KS. Tubun, RT 53/11 Kelurahan Roban",,c18,,Tengah (Central),,,,,,,,,,,
VIHARA CIN LI FUT THONG,晉礼佛堂(盧萬),Jin Li Fo Tang (Lu Wan),ROBAN,0.898333333,109.0027778,"Jl. KS. Tubun, RT 52/11 Kelurahan Roban",,c19,,Tengah (Central),,,,,,,,,,,
CETIYA KUNG KUNG,公公壇(盧萬),Gong Gong Tan (Lu Wan),ROBAN,0.895833333,109.0033333,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",,c20,,Tengah (Central),,,,,,,,,,,
VIHARA LO MAO SUI KHEU PAK KUNG,羅卯水口伯公(盧萬),Luo Mao Shui Kou Bo Gong (Lu Wan),ROBAN,0.894166667,109.0033333,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",,c21,,Tengah (Central),,,,,,,,,,,
CETIYA KON JIM FUT MU,觀音佛母壇(黄泥路),Guan Yin Fo Mu Tan (Huang Ni Lu),JL. KALIMANTAN,0.908055556,108.9963889,"Jl. Kalimantan Gg. Lima, RT 09/03 Kelurahan Roban",,c22,,Tengah (Central),,,,,,,,,,,
CETIYA FUT HOI THONG,佛海堂(黄泥路),Fo Hai Tang (Huang Ni Lu),JL. KALIMANTAN,0.9075,108.995,"Jl. Kalimantan Gg. P4, RT 08/03 Kelurahan Roban",,c23,,Tengah (Central),,,,,,,,,,,
CETIYA SIAM LO FAB THAN,暹邏法壇(黄泥路),Xian Luo Fa Tan (Huang Ni Lu),JL. KALIMANTAN,0.908055556,108.9938889,"Jl. Kalimantan Gg. Tiga, RT 33/07 Kelurahan Condong",,c24,,Tengah (Central),,,,,,,,,,,
VIHARA JIU TET FUT THONG,有德佛堂(黄泥路),You De Fo Tang (Huang Ni Lu),JL. KALIMANTAN,0.908888889,108.9938889,"Jl. Kalimantan, RT 36/07 Kelurahan Condong",,c25,,Tengah (Central),,,,,,,,,,,
VIHARA FONG THAI NYIAN SAI / CHOI LAM SHIN,方大元帥廟/菜籃神(黄泥路),Fang Da Yuan Shuai Miao / Cai Lan Shen,JL. KALIMANTAN,0.909166667,108.9927778,"Jl. Kalimantan Gg. Satu, RT 32/07 Kelurahan Condong",,c26,,Tengah (Central),,,,,,,,,,,
CETIYA BUN KIUNG FAB,文宮法壇(港尾),Wen Gong Fa Tan (Gang Wei),JL. HULU,0.908333333,108.9925,"Jl. Hulu, RT 32/07 Kelurahan Condong",,c27,,Tengah (Central),,,,,,,,,,,
VIHARA GITA TRIRATNA,接善堂/齋堂(港尾),Jie Shan Tang / Zhai Tang (Gang Wei),JL. HULU,0.907777778,108.9930556,"Jl. Hulu, RT 33/07 Kelurahan Condong",,c28,,Tengah (Central),,,,,,,,,,,
CETIYA CHAU LIU LIN THAN,趙劉靈壇,Zhao Liu Ling Tan,JL. BUDI UTOMO,0.909166667,108.9897222,"Jl. Budi Utomo No.8A, RT 23/05 Kelurahan Condong",,c29,,Tengah (Central),,,,,,,,,,,
ALTAR KELUARGA TJHIA,謝恊勝祖屋壇,Xie Xie Sheng Zu Wu Tan,KAWASAN TRADISIONAL,0.910277778,108.99,"Jl. Budi Utomo, RT 23/05 Kelurahan Condong",,c30,,Tengah (Central),,,,,,,,,,,
YAYASAN DHARMA SUCI MULIA,五福真君廟,Wu Fu Zhen Jun Miao,JL. PEMUDA,0.910833333,108.9905556,"Jl. Pemuda Gg. Tabrani H. Ahmad, RT 22/05 Kelurahan Condong",,c31,,Tengah (Central),,,,,,,,,,,
CETIYA CHO FUK KIUNG,坐福宮,Zuo Fu Gong,JL. PEMUDA,0.910277778,108.9908333,"Jl. Pemuda Gg. Tabrani H. Ahmad, RT 22/05 Kelurahan Condong",,c32,,Tengah (Central),,,,,,,,,,,
VIHARA NAM TEU SEN KIUN,南斗星君廟(頭條港),Nan Dou Xing Jun Miao (Tou Tiao Gang),SEI. WIE,0.923611111,108.9891667,"Jl. Tani Gg. Setia Negara, RT 03/01 Kelurahan Sei. Wie",,c33,,Tengah (Central),,,,,,,,,,,
CETIYA SAM THAI THIAN BONG,三大天王壇(頭條港),San Da Tian Wang Tan (Tou Tiao Gang),SEI. WIE,0.9225,108.9897222,"Jl. Cempaka, RT 03/01 Kelurahan Sei. Wie",,c34,,Tengah (Central),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公公壇(頭條港),Da Bo Gong Gong Tan (Tou Tiao Gang),SEI. WIE,0.926388889,108.9911111,"Jl. Cempaka, RT 03/01 Kelurahan Sei. Wie",,c35,,Tengah (Central),,,,,,,,,,,
CETIYA THAI SONG LO KIUN/PHAK LIAN SHI KUNG,太上老君壇 / 白莲师公庙 (上候福律),Tai Shang Lao Jun Tan (Shang Hou Fu Lu),SANGGAU KULOR,0.875,108.9958333,"Jl. Raya Sanggau Kulor, RT 01/01 Kelurahan Sanggau Kulor",45,e1,6,Timur (East),,,,,,,,,,,
VIHARA KON JIM THONG,觀音堂(巴仁丹),Guan Yin Tang (Ba Ren Dan),PAJINTAN,0.881944444,109.0291667,"Jl. Raya Pajintan, RT 07/03 Kelurahan Pajintan",52,e2,8,Timur (East),,,,,,,,,,,
VIHARA SUI TET KIUNG,水徳宮(福律),Shui De Gong (Fu Lu),KULOR,0.8825,109.0252778,"Jl. Pasar Kulor, RT 10/04 Kelurahan Pajintan",53,e3,5,Timur (East),,,,,,,,,,,
VIHARA CHIANG LIUNG CIN,青龍精廟(學老喃,Qing Long Jing Miao (Xue Lao Nan),JALAN BARU (HOKLONAM),0.883888889,108.9966667,"Jl. Baru, Hoklonam, RT 02/01 Kelurahan Sijangkung",,e4,,Timur (East),,,,,,,,,,,
CETIYA FA KONG THAI TI,華光大帝壇(馬呀梭吧),Hua Guang Da Di Tan (Ma Ya Suo Ba),MAYASOPA,0.899444444,109.1244444,"Jl. Raya Seluang, RT 03/02 Kelurahan Mayasopa",,e5,,Timur (East),,,,,,,,,,,
CETIYA KIU THO NYIAN SAI,九道元帥壇(岜加沙哇),Jiu Dao Yuan Shuai Tan (Ba Jia Sha Wa),BAGAK SAHWA,0.870555556,109.0869444,"Jl. Raya Bagak Sahwa, RT 03/01 Kelurahan Bagak Sahwa",,e6,,Timur (East),,,,,,,,,,,
CETIYA FA NGOK KIUNG,華嶽宮(岜加沙哇),Hua Yue Gong (Ba Jia Sha Wa),BAGAK SAHWA,0.870833333,109.0861111,"Jl. Raya Bagak Sahwa, RT 03/01 Kelurahan Bagak Sahwa",,e7,,Timur (East),,,,,,,,,,,
VIHARA THI CU THAI PAK KUNG KUNG,地主大伯公公廟(岜加沙哇),Di Zhu Da Bo Gong Gong Miao (Ba Jia Sha Wa),BAGAK SAHWA,0.870277778,109.0813889,"Jl. Raya Bagak Sahwa, RT 03/01 Kelurahan Bagak Sahwa",,e8,,Timur (East),,,,,,,,,,,
CETIYA CUNG NYI THONG,忠義堂(巴仁丹),Zhong Yi Tang (Ba Ren Dan),PAJINTAN,0.881388889,109.0322222,"Jl. Raya Pajintan, RT 08/03 Kelurahan Pajintan",,e9,,Timur (East),,,,,,,,,,,
VIHARA FAB LIN KIUNG / FAB CHIN KUNG,法靈宮/法清公公(福律),Fa Ling Gong / Fa Qing Gong Gong ( Fu Lu),KULOR,0.886666667,109.0247222,"Jl. Raya Kulor Gg. Pak Ikal, RT 14/04 Kelurahan Pajintan",,e10,,Timur (East),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA,大伯公宮(福律),Da Bo Gong Gong (Fu Lu),KULOR,0.8875,109.0180556,"Jl. Raya Kulor, RT 13/04 Kelurahan Pajintan",,e11,,Timur (East),,,,,,,,,,,
CETIYA NG KAU CU KUNG KIUNG,五教祖公宮(行尾),Wu Jiao Zu Gong Gong (Hang Wei),HANGMUI,0.865833333,109.0205556,"Jl. Raya Sanggau Kulor Gg. Budi Daya 1, RT 19/06 Kelurahan Pajintan",,e12,,Timur (East),,,,,,,,,,,
VIHARA SAM BONG KIUNG,三王宮(行尾),San Wang Gong (Hang Wei),HANGMUI,0.864722222,109.0258333,"Jl. Hangmui, RT 18/06 Kelurahan Pajintan",,e13,,Timur (East),,,,,,,,,,,
VIHARA FA KONG TI,華光帝宮(行尾),Hua Guang Di Gong (Hang Wei),HANGMUI,0.868611111,109.0283333,"Jl. Fa Kong Ti, Hangmui, RT 20/06 Kelurahan Pajintan",,e14,,Timur (East),,,,,,,,,,,
VIHARA THIAN SHI KIUNG / SHI KUNG,天師宮/師公(行尾),Tian Shi Gong / Shi Gong (Hang Wei),HANGMUI,0.860555556,109.0330556,"Jl. Fa Kong Ti, Hangmui, RT 20/06 Kelurahan Pajintan",,e15,,Timur (East),,,,,,,,,,,
CETIYA THIAN FAB NG THAI LIN CIONG,天法五大靈將壇(行尾),Tian Fa Wu Da Ling Jiang Tan (Hang Wei),HANGMUI,0.875555556,109.0263889,"Jl. Raya Hangmui, RT 17/06 Kelurahan Pajintan",,e16,,Timur (East),,,,,,,,,,,
VIHARA THAI SHIN KIUNG,大聖宮(卢万山),Da Sheng Gong (Hang Wei),GUNUNG ROBAN,0.887777778,109.0147222,"Jl. Robansan, RT 13/04 Kelurahan Pajintan",,e17,,Timur (East),,,,,,,,,,,
CETIYA SI THAI KIM KONG,四大金剛壇(新喃),Si Da Jin Gang Tan (Xin Nan),SINNAM-SANGGAU KULOR,0.875277778,108.9936111,"Jl. Raya Sanggau Kulor Gg. Kuburan, RT 01/01 Kelurahan Sanggau Kulor",,e18,,Timur (East),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公公壇(新路),Da Bo Gong Gong Tan (Xin Lu),JALAN BARU,0.880555556,109.0011111,"Jl. Baru Gg. Karet, RT 03/01 Kelurahan Sanggau Kulor",,e19,,Timur (East),,,,,,,,,,,
VIHARA THAI PAK KUNG KUNG,大伯公公廟(八條港),Da Bo Gong Gong Miao (Ba Tiao Gang),SETAPUK KECIL,0.973055556,108.9894444,"Jl. Hamid Matali, RT 08/03 Kellurahan Setapuk Kecil",22,n1,7,Utara (North),,,,,,,,,,,
CETIYA THAI PAK KUNG,大伯公壇(七條港),Da Bo Gong Miao (Qi Tiao Gang),SETAPUK KECIL,0.967777778,108.9866667,"Jl. Ratu Sepudak, RT 08/03 Kellurahan Setapuk Kecil",27,n2,5,Utara (North),,,,,,,,,,,
VIHARA NAN MO FUT MU,南無佛母廟(十條港),Nan Mo Fo Mu Miao (Shi Tiao Gang),SEMELAGI KECIL,0.991666667,108.99,"Jl. H. Bakar, RT 02/01 Kelurahan Semelagi Kecil",,n3,,Utara (North),,,,,,,,,,,
VIHARA SAM BU CIONG KIUN,三武將軍廟(八條港),San Wu Jiang Jun Miao (Ba Tiao Gang),SETAPUK KECIL,0.969722222,109.0233333,"Jl. Hamid Matali, RT 02/01 Kellurahan Setapuk Kecil",,n4,,Utara (North),,,,,,,,,,,
VIHARA KON JIM - NACA - SAMPO KIUNG,觀音-哪吒-三宝宮(八條港),Guan Yin-Na Zha-San Bao Gong (Ba Tiao Gang),SETAPUK KECIL,0.969444444,109.0158333,"Jl. Hamid Matali, RT 04/01 Kellurahan Setapuk Kecil",,n5,,Utara (North),,,,,,,,,,,
CETIYA TRIDHARMA BUMI RAYA,神農聖帝廟(六條港),Shen Nong Sheng Di Miao (Liu Tiao Gang),SEI. RASAU,0.9625,108.9872222,"Jl. Yunus Yakub, RT 02/01 Kelurahan Sei. Rasau",,n6,,Utara (North),,,,,,,,,,,
CETIYA NYI THAI CI,二太子廟(六條港),Er Tai Zi Miao (Liu Tiao Gang),SEI. RASAU,0.962222222,108.9886111,"Jl. Yunus Yakub, RT 02/01 Kelurahan Sei. Rasau",,n7,,Utara (North),,,,,,,,,,,
VIHARA SHIN NUNG KIUNG,神農宮(五條港),Shen Nong Gong (Wu Tiao Gang),SEI. BULAN,0.955555556,108.9886111,"Jl. Mesjid, RT 09/04 Kelurahan Sei. Bulan",,n8,,Utara (North),,,,,,,,,,,
VIHARA CHAU THAI NYIAN SAI,元帥堂(四條港),Yuan Shuai Tang (Si Tiao Gang),NARAM,0.940277778,109.0047222,"Jl. Trisula No.40, RT 07/03 Kelurahan Naram",,n9,,Utara (North),,,,,,,,,,,
VIHARA TRIDHARMA BUMI RAYA,大伯公壇(四條港),Da Bo Gong Tan (Si Tiao Gang),NARAM,0.943611111,109.0066667,"Jl. Sei. Nangka, RT 05/02 Kelurahan Naram",,n10,,Utara (North),,,,,,,,,,,
CETIYA SAM BONG KIUNG,三王宮(四條港),San Wang Gong (Si Tiao Gang),NARAM,0.943611111,109.0044444,"Jl. Gunung Kaba' No.25, RT 04/02 Kelurahan Naram",,n11,,Utara (North),,,,,,,,,,,
CETIYA KIM CAU KUNG,金照宮(四條港),Jin Zhao Gong (Si Tiao Gang),NARAM,0.945833333,109.0058333,"Jl. Sei. Nangka Gg. Jeruk, RT 04/02 Kelurahan Naram",,n12,,Utara (North),,,,,,,,,,,
CETIYA LIN FAB THONG,靈法堂(三條港),Ling Fa Tang (San Tiao Gang),SEI. GARAM HILIR,0.94,108.9961111,"Jl. Semai, 05/04 Kelurahan Sei. Garam Hilir",,n13,,Utara (North),,,,,,,,,,,
VIHARA LIM BU CIONG KIUN,林武將軍廟(三條港),Lin Wu Jiang Jun Miao (San Tiao Gang),SEI. GARAM HILIR,0.932777778,108.9825,"Jl. Ratu Sepudak Gg. Sepakat, RT 05/04 Kelurahan Sei. Garam Hilir",,n14,,Utara (North),,,,,,,,,,,
VIHARA FUK BONG KIUNG,福王宮(禮朗),Fu Wang Gong (Li Lang),GUNUNG BESI - LIRANG,0.770277778,108.905,"Jl. Lirang Proyek, RT 53/08 Kelurahan Sedau",,x1,,,,,,,,,,,,,
