UID,altar_Name,address,village,gps_lat,gps_lon,region,num_photos,photo_ref,pantak
WP116, NG FU CIONG KIUN ," Jl. P. Natuna Kampung Manggis, Pasiran , RT 24",Parisan,0.8955333333333333,108.99592777777778,West,,67, N 
WP117, PHAK JIE KUNG KUNG ," Jl. P. Natuna Kampung Manggis, Pasiran  No. 92, RT 24",Parisan,0.8952027777777778,108.99591944444444,West,,68, N 
WP118, SONG THAI THAI KUNG ," Jl. P. Natuna Kampung Manggis, Pasiran  No. 93, RT 24",Parisan,0.8953055555555556,108.99574166666667,West,,69, N 
WP119, LO CU THIAN SHI ," Jl. P. Natuna Kampung Manggis, Pasiran  No. 91, RT 24",Parisan,0.894836111111111,108.99521111111112,West,,70, N 
WP120, PHAK JIE NYIONG NYIONG ," Jl. P. Natuna Kampung Manggis, Pasiran  No. 77, RT 24",Parisan,0.8945194444444444,108.99523055555555,West,,71, N 
WP121, FUNG MIAN CIONG KIUN ," Jl. P. Natuna Kampung Manggis, Pasiran  No. 72, RT 24",Parisan,0.8945555555555555,108.995275,West,,72, N 
WP122, PHAK HOK THUNG CI ," Jl. P. Natuna Kampung Manggis, Pasiran  No. 65, RT 24",Parisan,0.8943305555555555,108.99539444444444,West,,73, N 
WP123, LIUNG SAN PAK KUNG ," Jl. Burhani, Kel. Pasiran  No. 45, RT 25",Parisan,0.8914638888888888,108.98990277777777,West,,76, N 
WP124, NYUK FUNG THAI SHI ," Jl. Burhani, Kel. Pasiran  No. 18, RT 25",Parisan,0.8933027777777778,108.99020555555556,West,,75, N 
WP125, TUNG SAN CIONG KIUN ," Jl. Burhani, Kel. Pasiran , RT 24",Parisan,0.8918111111111111,108.99425,West,,74, Y 
WP126, KIM BUI PAK KUNG ," Jl. Burhani, Kel. Pasiran  No. 19, RT 24",Parisan,0.8905055555555556,108.98968055555555,West,,77, Y 
WP127, CEU MA CIONG KIUN ," Jl. Burhani, Kel. Pasiran  No. 31, RT 24",Parisan,0.8911527777777778,108.99022222222223,West,,81, N 
WP128, NG FAB THUNG CI ," Jl. Burhani, Kel. Pasiran  No. 41, RT 24",Parisan,0.8913333333333333,108.99033055555556,West,,82, N 
WP129, PAT BONG CIONG KIUN ," Jl. P. Natuna, Kel. Pasiran  No. 38, RT 21",Parisan,0.9014722222222222,108.98951111111111,West,,34, Y 
WP130, THAI SONG LO KIUN ," Jl. P. Natuna, Kel. Pasiran  No. 9, RT 21",Parisan,0.9008083333333333,108.98987777777778,West,,135, N 
WP131, BONG LO SIAN SHI ," Jl. P. Natuna, Kel. Pasiran  No. 132, RT 15",Parisan,0.9025611111111111,108.98939722222222,West,,38, N 
WP132, KIM SAN PAK KUNG ," Jl. P. Natuna, Kel. Pasiran , RT 15",Parisan,0.902875,108.98904166666667,West,,133, N 
WP133, THAI CU SHIN TI ," Jl. P. Natuna, Kel. Pasiran  No. 51, RT 19",Parisan,0.8970638888888889,108.98952777777778,West,,5, N 
WP134, FUT FAB BONG MU MU NYIONG NYIONG ," Jl. P. Natuna, Kel. Pasiran  No. 49, RT 19",Parisan,0.8971305555555555,108.98955,West,,6, N 
WP135, JONG PAK KUNG ," Jl. P. Natuna, Kel. Pasiran  No. 61, RT 19",Parisan,0.8968305555555556,108.98966944444444,West,,7, N 
WP136, THAI SHI KUNG ," Jl. P. Natuna, Kel. Pasiran  No. 59, RT 19",Parisan,0.8960583333333333,108.99009166666667,West,,8, N 
WP137, SAM CHIN KAU CU ," Jl. P. Natuna, Kel. Pasiran  No. 57, RT 19",Parisan,0.8961749999999999,108.9892888888889,West,,9, N 
WP138, LI FAB NYIAN SAI ," Jl. P. Natuna, Kel. Pasiran  No. 64, RT 19",Parisan,0.8960194444444444,108.9893888888889,West,,10, N 
WP139, CETIA MANJUSHRI BODHISATTVVA ," Jl. P. Natuna, Kel. Pasiran  No. 88, RT 21",Parisan,0.8984916666666667,108.98963611111111,West,,12, N 
WP140, THAI SONG LO KIUN ," Jl. P. Natuna, Kel. Pasiran  No. 27, RT 19",Parisan,0.8984444444444444,108.98967777777779,West,,27, N 
WP141, LI SAN PAK KUNG ," Jl. P. Natuna, Kel. Pasiran  No. 39A, RT 19",Parisan,0.8971861111111111,108.98919722222222,West,,28, Y 
WP142, THAI SONG LO KIUN ," Jl. P. Natuna, Kel. Pasiran  No. 44C, RT 19",Parisan,0.8972027777777778,108.98913888888889,West,,29, N 
WP143, SAM SAN KET BONG ," Jl. P. Natuna, Kel. Pasiran  No. 44C, RT 19",Parisan,0.8969166666666666,108.98893611111112,West,,30, N 
WP144, BUN BU FAB SHI ," Jl. P. Natuna, Kel. Pasiran  No. 26, RT 19",Parisan,0.8982249999999999,108.99006388888888,West,,11, N 
WP145, SAM SAN CIONG KIUN ," Jl. P. Natuna, Kel. Pasiran  No. 67, RT 19",Parisan,0.8971416666666666,108.98997222222222,West,,1, Y 
WP146, HIAT MIAN CIONG KIUN ," Jl. P. Natuna, Kel. Pasiran  No. 74, RT 19",Parisan,0.8975861111111111,108.98965277777778,West,,3, N 
WP147, LU SAN LIUK CIONG ," Jl. P. Natuna, Kel. Pasiran  No.  74A , RT 19",Parisan,0.8976694444444444,108.98957777777778,West,,2, N 
WP148, JUNG LO PAK KUNG ," Jl. P. Natuna, Kel. Pasiran  No. 47, RT 19",Parisan,0.8970638888888889,108.98936388888889,West,,4, N 
WP149, TUNG SHIN MIAU ," Jl. P. Natuna Gg. Samudera, Kel. Pasiran  No. 34, RT 19",Parisan,0.9008638888888889,108.99210833333333,West,,52, N 
WP150, CONG THIAN SHI ," Jl. P. Natuna Gg. Sinar Abadi, Kel. Pasiran  No. 16A, RT 19",Parisan,0.8994249999999999,108.990975,West,,23, N 
WP151, SAK BONG JA KUNG ," Jl. P. Natuna Gg. Sinar Abadi, Kel. Pasiran  No. 12A, RT 19",Parisan,0.8993805555555555,108.99064722222222,West,,22, N 
WP152, FUNG JIE PIT TET ," Jl. P. Natuna Gg. Sinar Abadi, Kel. Pasiran  No. 10, RT 19",Parisan,0.8991277777777777,109.00069722222223,West,,24, N 
WP153, CHE THIAN THAI SHIN ," Jl. P. Natuna Gg. Sinar Abadi, Kel. Pasiran  No. 22, RT 18",Parisan,0.8997944444444445,108.99032777777778,West,,26, N 
WP154, THASI SONG LO KIUN ," Jl. P. Natuna Gg. Sinar Abadi, Kel. Pasiran  No. 18, RT 18",Parisan,0.899986111111111,108.99072222222222,West,,25, N 
WP155, FUNG MIAN PAK KUNG ," Jl. P. Natuna Gg. Dua Belas, Kel. Pasiran  No. 56, RT 18",Parisan,0.9056111111111111,108.99024722222222,West,,35, N 
WP156, KELENTENG TANDUK ," Jl. P. Natuna Gg. Terang, Kel. Pasiran  No. 65, RT 18",Parisan,0.9008694444444445,108.99048333333333,West,,36, N 
WP157, BUN BU CIONG KIUN ," Jl. P. Natuna, Kel. Pasiran  No. 38, RT 18",Parisan,0.9007722222222222,108.98991944444444,West,,285, N 
WP158, KIM SI PAK KUNG ," Jl. P. Natuna, Kel. Pasiran  No. 65, RT 18",Parisan,0.9007583333333333,108.99061388888889,West,,37, N 
WP159, LIN SAN PAK KUNG ," Jl. P. Natuna, Kel. Pasiran  No. 48, RT 17",Parisan,0.8998166666666666,108.99411111111111,West,,61, N 
WP160, PANGLIMA BURUNG KUNING ," Jl. P. Natuna, Kel. Pasiran  No. 65, RT 17",Parisan,0.8993055555555556,108.9940111111111,West,,62, N 
WP161, LIN NGOK THUNG CI ," Jl. P. Natuna, Kel. Pasiran  No. 43, RT 17",Parisan,0.9010083333333334,108.99299722222223,West,,63, N 
WP162, LIN PAK KUNG ," Jl. P. Natuna, Kel. Pasiran  No. 41, RT 17",Parisan,0.9011027777777778,108.99280555555556,West,,134, N 
WP163, PHAK LA TOK ," Jl. P. Natuna Gg. Bambu, Kel. Pasiran  No. 53A, RT 17",Parisan,0.8993444444444444,108.99300277777778,West,,56, N 
WP164, LA TOK SHI KUNG ," Jl. P. Natuna Gg. Bambu, Kel. Pasiran , RT 17",Parisan,0.8994916666666667,108.99321388888889,West,,57, N 
WP165, SAN THAI CI ," Jl. P. Natuna Gg. Bambu, Kel. Pasiran  No. 52, RT 17",Parisan,0.8999944444444444,108.99339722222223,West,,58, N 
WP166, SAM CHIN KAU CU ," Jl. P. Natuna Gg. Samudera, Kel. Pasiran  No. 34P, RT 17",Parisan,0.9004444444444445,108.992325,West,,54, N 
WP167, LIM SAN PAK KUNG ," Jl. P. Natuna Gg. Samudera, Kel. Pasiran  No. 34E, RT 17",Parisan,0.9003805555555556,108.99249722222223,West,,55, N 
WP168, NYI BONG ," Jl. P. Natuna, Kel. Pasiran  No. 42C, RT 37",Parisan,0.9020472222222222,108.99387222222222,West,,44, Y 
WP169, LI SAN LO MU ," Jl. P. Natuna Gg. Happy, Kel. Pasiran  No. 30, RT 37",Parisan,0.9017555555555555,108.99317777777777,West,,41, N 
WP170, BU LUN PAK KUNG ," Jl. P. Natuna Gg. Happy, Kel. Pasiran  No. 38A, RT 37",Parisan,0.9024472222222223,108.99325833333333,West,,42, N 
WP171, LU SAN THAI CIONG ," Jl. P. Natuna Gg. Happy, Kel. Pasiran  No. 38B, RT 37",Parisan,0.9024027777777778,108.99331944444445,West,,43, N 
WP172, LU PAN SIAN SHI ," Jl. P. Natuna Gg. Sinar, Kel. Pasiran  No. 89, RT 37",Parisan,0.9024222222222222,108.99175,West,,39, N 
WP173, PHAK HOK SIAN SHI ," Jl. P. Natuna Gg. Sinar, Kel. Pasiran  No. 8, RT 37",Parisan,0.9021722222222223,108.99203611111112,West,,40, N 
WP174, LA TOK KIUNG ," Jl. P. Natuna Gg. Sinar, Kel. Pasiran  No. 61, RT 16",Parisan,0.9019166666666667,108.99197222222222,West,,45, N 
WP175, BU KEU CIONG KIUN ," Jl. P. Natuna, Kel. Pasiran  No. 33, RT 16",Parisan,0.8998305555555556,108.99397222222223,West,,59, N 
WP176, PHAK LIAN SHI KUNG ," Jl. P. Natuna, Kel. Pasiran  No. 34, RT 16",Parisan,0.8998194444444444,108.99394166666667,West,,60, N 
WP177, NAM SAN CIONG KIUN ," Jl. P. Natuna, Kel. Pasiran  No. 17, RT 16",Parisan,0.9011972222222222,108.99280555555556,West,,297, N 
WP178, NG FONG PAK KUNG / ALTAR ," Jl. P. Natuna, Kel. Pasiran  No. 16A, RT 14",Parisan,0.9027138888888889,108.98939166666666,West,,294, N 
WP179, THIAN SHI CIN NYIN ," Jl. P. Natuna, Kel. Pasiran  No. 62, RT 14",Parisan,0.9013722222222222,108.99106944444445,West,,51, N 
WP180, SAM SIP LIUK THAI KAU ," Jl. P. Natuna Gg. Marga Pui, Pasiran  No. 58F, RT 16",Parisan,0.9009861111111112,108.99491388888889,West,,123, N 
WP181, CEU MA CIONG KIUN ," Jl. P. Natuna Gg. Samudera, Kel. Pasiran  No. 34B, RT 14",Parisan,0.90075,108.99235833333333,West,,53, N 
WP182, DATUK GUNUNG BESI ," Jl. P. Belitung, Kel. Pasiran  No. 11C, RT 14",Parisan,0.9024555555555556,108.99064166666666,West,,50, Y 
WP183, THO FAB SIAN SHI ," Jl. P. Belitung, Kel. Pasiran  No. 10, RT 10",Parisan,0.9047083333333333,108.99107777777778,West,,128, N 
WP184, LIN SAN FAB SHI ," Jl. P. Belitung Gg. Happy, Kel. Pasiran  No. 64, RT 37",Parisan,0.9030833333333333,108.99188055555555,West,,49, N 
WP185, DATUK TANJUNG PALO ," Jl. P. Belitung Gg. Gotong Royong, Pasiran  No. 42, RT 10",Parisan,0.9042277777777779,108.991225,West,,130, N 
WP186, THO FAB THAN ," Jl. P. Belitung Gg. Gotong Royong, Pasiran  No. 69, RT 10",Parisan,0.9034833333333333,108.99091944444444,West,,46, N 
WP187, CHIT THIAN MIAU ," Jl. P. Belitung Gg. Gotong Royong, Pasiran  No. 66, RT 10",Parisan,0.9037805555555556,108.99080000000001,West,,47, N 
WP188, SAM SAN KET BONG ," Jl. P. Belitung Gg. Gotong Royong, Pasiran  No. 67, RT 12",Parisan,0.9042222222222223,108.99151388888889,West,,129, N 
WP189, LO CU SHIAN SHI ," Jl. P. Belitung Gg. Happy, Kel. Pasiran  No. 63, RT 37",Parisan,0.9030833333333333,108.99184166666667,West,,48, N 
WP190, FUNG MIAN CIONG KIUN ," Jl. Pasar Turi, Kel. Pasiran  No. 79, RT 9",Parisan,0.9052222222222223,108.99198055555556,West,,116, N 
WP191, PHU AM CU SHI ," Jl. Pasar Turi, Kel. Pasiran  No. 73, RT 9",Parisan,0.9052694444444445,108.9917,West,,117, N 
WP192, BONG PAK KUNG KUNG ," Jl. Pasar Turi, Kel. Pasiran  No. 7, RT 12",Parisan,0.9037333333333334,108.99395,West,,126, N 
WP193, THAI SONG LO KIUN ," Jl. Pasar Turi, Kel. Pasiran  No. 15, RT 12",Parisan,0.905325,108.99270555555556,West,,119, N 
WP194, BONG PAK KUNG KUNG ," Jl. Pasar Turi, Kel. Pasiran  No. 68, RT 8",Parisan,0.9063027777777778,108.99238611111112,West,,115, N 
WP195, HIAN THIAN SONG TI ," Jl. Pasar Turi, Kel. Pasiran  No. 57, RT 8",Parisan,0.9060055555555556,108.99274722222222,West,,118, N 
WP196, CHIT BU CIONG KIUN ," Jl. Pasar Turi Gg. Happy, Kel. Pasiran  No. 25, RT 11",Parisan,0.9064472222222223,108.99364722222222,West,,120, N 
