name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no
CETIYA KON JIM FUT MU,观音佛母坛(莲堂路),Guan Yin Fo Mu Tan (Lian Tang Lu),JL. P. NATUNA,0.9062694444444445,108.99236666666667,"Jl. Pasar Turi, RT 08/04 Kelurahan Pasiran",
CETIYA SIAN KIUNG MIAU FAB,仙宮妙法(井斗厂),Xian Gong Miao Fa (Jing Dou Chang),JL. P. NATUNA,0.8973944444444444,108.98883055555555,"Jl. P. Natuna, RT 21/08 Kelurahan Pasiran",
CETIYA CONG THIAN SHI,張天师庙(公司山),Zhang Tian Shi Miao (Gong Si Shan),JL. P. NATUNA,0.9000666666666667,108.994775,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",
CETIYA FAB SHI MIAU,法师庙(公司山),Fa Shi Miao (Gong Si Shan),JL. P. NATUNA,0.8999111111111111,108.99471944444444,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",
VIHARA METTA KARUNA DHARMA SUCI,法妙坛(公司山),Fa Miao Tan (Gong Si Shan),JL. P. NATUNA,0.9001361111111111,108.99432222222222,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",
CETIYA HO SAN FUT FAB KI KIUN THONG,和善佛法济君坛(公司山),He Shan Fo Fa Ji Jun Tan (Gong Si Shan),JL. P. NATUNA,0.9002388888888889,108.99613611111111,"Jl. P. Natuna, RT 16/06 Kelurahan Pasiran",
CETIYA THU THI PAK KUNG,土地伯公坛(公司山),Tu Di Bo Gong Tan (Gong Si Shan),JL. P. NATUNA,0.8959833333333334,108.99388611111111,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",
VIHARA LIAN THONG SHUI KHEU PAK KUNG,水口伯公庙(芒桔头),Shui Kou Bo Gong (Mang Jie Tou),KAMPUNG MANGGIS,0.8956611111111111,108.99600555555556,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",
CETIYA NG FU MIAU,五虎庙(芒桔头),Wu Hu Miao (Mang Jie Tou),KAMPUNG MANGGIS,0.8955722222222222,108.99591666666667,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",
CETIYA SAM CHIN KIUNG,三清宮(芒桔头),Shan Qing Gong (Mang Jie Tou),KAMPUNG MANGGIS,0.8948194444444444,108.99553333333334,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",
CETIYA THAI PAK KUNG KUNG,大伯公公庙,Da Bo Gong Gong Miao,KAWASAN PEMAKAMAN NYI BU SAN,0.8916444444444445,108.995025,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",
CETIYA MU JAN PAK KONG,墓园伯公庙,Mu Yuan Bo Gong Miao,KAWASAN PEMAKAMAN NYI BU SAN,0.8934361111111111,108.9951138888889,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",
VIHARA MU PUN THO THONG,务本道堂(志师坛),Mu Ben Dao Tang (Zhi Shi Tan),JL. BURHANI,0.8901527777777778,108.98850277777778,"Jl. Kridasana Gg. 70 No.32, RT 26/10 Kelurahan Pasiran",
CETIYA CHIP TET KIUNG,集德宮(志师坛),Ji De Gong (Zhi Shi Tan),JL. BURHANI,0.890925,108.98969166666667,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",
CETIYA SAM CHIN KIUNG,三清宮(志师坛),Shan Qing Gong (Zhi Shi Tan),JL. BURHANI,0.8908166666666666,108.9924861111111,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",
CETIYA THAI PAK KUNG,大伯公庙(志师坛),Da Bo Gong Miao (Zhi Shi Tan),JL. BURHANI,0.8908138888888889,108.99241944444445,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",
CETIYA LIUK LIUK KONG SEN,六六罡星(志师坛),Liu Liu Gang Xing (Zhi Shi Tan),JL. BURHANI,0.8917361111111111,108.99364166666666,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",
CETIYA SAM CHIN FAB THAN,三清法坛(志师坛),Shan Qing Fa Tan (Zhi Shi Tan),JL. BURHANI,0.8911722222222221,108.99348055555555,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",
VIHARA SAK CHI KIUNG,石慈官(运动场),Shi Ci Gong (Yun Dong Chang),JL. KRIDASANA,0.8870833333333333,108.98347777777778,"Jl. Kridasana Gg. Karya II No.79, RT 28/11 Kelurahan Pasiran",
CETIYA FUNG MIAN CIONG KIUN,紅面將军(运动场),Hong Mian Jiang Jun (Yun Dong Chang),JL. KRIDASANA,0.8935361111111111,108.98638611111112,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",
